c4bd88  //pixel    0 (x =   0, y =   0) =    [196 189 136] 
c4bd88  //pixel    1 (x =   1, y =   0) =    [196 189 136] 
c4bd88  //pixel    2 (x =   2, y =   0) =    [196 189 136] 
9b9679  //pixel    3 (x =   3, y =   0) =    [155 150 121] 
847361  //pixel    4 (x =   4, y =   0) =    [132 115  97] 
9b9679  //pixel    5 (x =   5, y =   0) =    [155 150 121] 
c4bd88  //pixel    6 (x =   6, y =   0) =    [196 189 136] 
c4bd88  //pixel    7 (x =   7, y =   0) =    [196 189 136] 
c4bd88  //pixel    8 (x =   8, y =   0) =    [196 189 136] 
c4bd88  //pixel    9 (x =   9, y =   0) =    [196 189 136] 
ccc377  //pixel   10 (x =  10, y =   0) =    [204 195 119] 
cdc269  //pixel   11 (x =  11, y =   0) =    [205 194 105] 
cdc269  //pixel   12 (x =  12, y =   0) =    [205 194 105] 
c6b35c  //pixel   13 (x =  13, y =   0) =    [198 179  92] 
c6b35c  //pixel   14 (x =  14, y =   0) =    [198 179  92] 
c6b35c  //pixel   15 (x =  15, y =   0) =    [198 179  92] 
ccc377  //pixel   16 (x =  16, y =   0) =    [204 195 119] 
ccc377  //pixel   17 (x =  17, y =   0) =    [204 195 119] 
b2a370  //pixel   18 (x =  18, y =   0) =    [178 163 112] 
a3884f  //pixel   19 (x =  19, y =   0) =    [163 136  79] 
795735  //pixel   20 (x =  20, y =   0) =    [121  87  53] 
53320d  //pixel   21 (x =  21, y =   0) =       [83 50 13] 
4b2906  //pixel   22 (x =  22, y =   0) =       [75 41  6] 
4e2b0c  //pixel   23 (x =  23, y =   0) =       [78 43 12] 
563c23  //pixel   24 (x =  24, y =   0) =       [86 60 35] 
684624  //pixel   25 (x =  25, y =   0) =    [104  70  36] 
6f4b31  //pixel   26 (x =  26, y =   0) =    [111  75  49] 
76523c  //pixel   27 (x =  27, y =   0) =    [118  82  60] 
76523c  //pixel   28 (x =  28, y =   0) =    [118  82  60] 
7b573d  //pixel   29 (x =  29, y =   0) =    [123  87  61] 
7b573d  //pixel   30 (x =  30, y =   0) =    [123  87  61] 
7b5b46  //pixel   31 (x =  31, y =   0) =    [123  91  70] 
76523c  //pixel   32 (x =  32, y =   0) =    [118  82  60] 
847361  //pixel   33 (x =  33, y =   0) =    [132 115  97] 
9b9679  //pixel   34 (x =  34, y =   0) =    [155 150 121] 
9b9679  //pixel   35 (x =  35, y =   0) =    [155 150 121] 
615449  //pixel   36 (x =  36, y =   0) =       [97 84 73] 
242d2a  //pixel   37 (x =  37, y =   0) =       [36 45 42] 
242d2a  //pixel   38 (x =  38, y =   0) =       [36 45 42] 
27322e  //pixel   39 (x =  39, y =   0) =       [39 50 46] 
2c3b38  //pixel   40 (x =  40, y =   0) =       [44 59 56] 
415051  //pixel   41 (x =  41, y =   0) =       [65 80 81] 
4d5f5d  //pixel   42 (x =  42, y =   0) =       [77 95 93] 
4d5f5d  //pixel   43 (x =  43, y =   0) =       [77 95 93] 
4d5f5d  //pixel   44 (x =  44, y =   0) =       [77 95 93] 
253e3f  //pixel   45 (x =  45, y =   0) =       [37 62 63] 
253e3f  //pixel   46 (x =  46, y =   0) =       [37 62 63] 
314645  //pixel   47 (x =  47, y =   0) =       [49 70 69] 
3e4743  //pixel   48 (x =  48, y =   0) =       [62 71 67] 
494b46  //pixel   49 (x =  49, y =   0) =       [73 75 70] 
4d4f4a  //pixel   50 (x =  50, y =   0) =       [77 79 74] 
5d5d57  //pixel   51 (x =  51, y =   0) =       [93 93 87] 
675d57  //pixel   52 (x =  52, y =   0) =    [103  93  87] 
675d57  //pixel   53 (x =  53, y =   0) =    [103  93  87] 
5d5d57  //pixel   54 (x =  54, y =   0) =       [93 93 87] 
575651  //pixel   55 (x =  55, y =   0) =       [87 86 81] 
575651  //pixel   56 (x =  56, y =   0) =       [87 86 81] 
5d5d57  //pixel   57 (x =  57, y =   0) =       [93 93 87] 
5d5d57  //pixel   58 (x =  58, y =   0) =       [93 93 87] 
545954  //pixel   59 (x =  59, y =   0) =       [84 89 84] 
3e4743  //pixel   60 (x =  60, y =   0) =       [62 71 67] 
2c3b38  //pixel   61 (x =  61, y =   0) =       [44 59 56] 
243531  //pixel   62 (x =  62, y =   0) =       [36 53 49] 
243531  //pixel   63 (x =  63, y =   0) =       [36 53 49] 
c4bd88  //pixel   64 (x =   0, y =   1) =    [196 189 136] 
c4bd88  //pixel   65 (x =   1, y =   1) =    [196 189 136] 
c4bd88  //pixel   66 (x =   2, y =   1) =    [196 189 136] 
c4bd88  //pixel   67 (x =   3, y =   1) =    [196 189 136] 
b2a370  //pixel   68 (x =   4, y =   1) =    [178 163 112] 
c4bd88  //pixel   69 (x =   5, y =   1) =    [196 189 136] 
c4bd88  //pixel   70 (x =   6, y =   1) =    [196 189 136] 
c4bd88  //pixel   71 (x =   7, y =   1) =    [196 189 136] 
